aluminium,copper,lead,nickel,zink,tin
2815.5,9660.0,2327.0,20730,3602.0,39400
2866.0,9778.0,2343.0,20900,3660.0,39700
2912.5,9565.0,2291.0,20480,3590.0,39650
2919.5,9615.0,2342.0,20725,3602.5,40650
2923.0,9665.0,2303.0,21045,3576.5,40425
2950.0,9662.0,2305.0,21680,3540.0,40700
3003.0,9945.0,2344.5,22200,3582.0,41750
2960.0,9972.0,2367.0,22130,3575.0,41850
2977.5,9900.0,2383.0,22850,3560.0,40850
3009.0,9674.5,2358.0,22475,3535.0,41500
3006.0,9707.0,2357.0,22740,3544.0,42500
3036.0,9801.0,2352.0,22795,3602.0,43050
3109.5,9925.0,2370.0,23900,3674.0,44195
3079.5,9970.0,2393.5,24000,3686.0,43900
3044.5,9800.0,2372.0,23500,3642.0,43375
3064.0,9744.0,2359.0,22535,3615.0,41700
3093.0,9965.0,2366.0,23425,3645.0,42800
3107.0,9872.0,2330.0,22860,3649.0,43145
3110.0,9678.0,2302.0,22750,3644.0,42450
3076.0,9620.0,2289.0,22800,3675.0,42550
3072.0,9701.0,2250.0,23300,3635.0,43600
3043.0,9880.0,2247.0,23400,3650.0,43750
3058.5,9785.0,2229.0,23225,3618.0,43560
3087.0,9875.0,2225.0,23475,3635.0,43375
3148.0,9850.0,2199.0,23650,3623.0,43250
3245.0,9760.0,2204.0,23530,3653.0,43375
3248.0,9881.0,2234.0,23550,3633.5,43400
3313.0,10220.5,2300.0,24055,3738.0,44445
3200.0,10040.0,2289.0,23705,3673.0,44195
3306.0,9882.0,2300.0,23650,3631.0,44000
3223.0,10020.0,2310.0,23950,3613.0,43575
3282.0,10045.5,2340.0,23905,3634.0,43785
3294.0,10010.0,2351.0,24150,3621.0,43750
3314.0,10015.0,2363.0,24500,3668.5,44150
3315.0,9960.0,2343.5,24870,3600.0,44150
3420.0,10020.0,2335.0,25650,3628.0,44700
3323.5,10005.0,2347.5,24950,3615.5,44750
3519.0,9983.0,2370.0,26105,3670.0,45795
3355.5,9920.0,2359.0,24700,3640.0,45200
3450.0,9974.0,2402.0,25240,3705.0,45550
3495.5,9976.0,2413.0,25450,3737.0,46000
3605.0,10257.5,2433.5,27000,3927.0,46150
3728.5,10470.0,2424.5,28800,3985.0,46655
3851.0,10466.0,2440.0,29800,4024.5,47325
3984.5,10730.0,2513.0,42995,4248.0,48670
3500.5,10171.0,2491.0,48201,4091.0,50050
3532.0,10052.0,2401.0,48211,3940.0,48200
3535.0,10144.0,2401.0,48241,3961.0,42800
3472.0,10145.0,2361.0,48226,3835.0,44025
3399.0,9880.0,2272.0,48211,3782.0,44100
3217.5,9826.0,2230.0,48196,3771.0,42525
3306.0,10100.5,2245.0,45795,3821.0,43100
3288.0,10166.0,2235.0,42150,3805.0,41850
3380.5,10249.0,2259.0,37115,3850.0,42450
3518.0,10173.0,2248.0,31580,3896.0,41425
3550.5,10342.0,2270.0,30800,3945.0,41550
3560.0,10311.0,2336.5,32355,4018.0,42000
3664.0,10421.0,2350.0,37200,4140.0,42425
3583.0,10280.0,2346.0,35550,4073.0,42650
3606.0,10227.0,2369.5,34050,4064.0,42925
3583.0,10350.0,2394.0,33100,4101.0,42750
3508.0,10390.5,2402.0,32750,4134.5,43900
3503.0,10337.0,2433.0,33400,4260.0,44200
3483.0,10247.0,2447.0,32800,4332.0,44500
3444.0,10301.5,2435.0,33690,4471.0,45500
3415.0,10426.0,2419.0,33750,4310.0,45400
3443.5,10350.5,2389.0,33600,4306.0,45175
3346.0,10292.0,2405.0,33500,4250.0,44300
3395.0,10390.0,2425.0,34100,4280.0,44295
3234.5,10235.5,2409.0,32925,4372.0,43325
3214.5,10201.0,2418.0,32450,4345.0,43650
3207.0,10290.5,2450.0,33000,4515.0,43450
3237.5,10277.0,2471.0,33250,4472.0,43325
3312.0,10381.0,2425.0,33700,4530.0,43600
3240.0,10215.0,2425.0,33800,4510.0,43400
3262.0,10268.0,2414.0,33775,4485.0,43275
3244.0,10230.5,2400.0,33850,4515.0,42200
3090.0,9919.0,2368.0,32650,4279.5,40475
3102.5,9912.5,2359.0,32825,4315.0,41250
3100.0,9910.0,2320.0,33300,4319.5,40790
3065.5,9812.0,2280.0,33275,4230.5,40600
3039.0,9820.5,2279.0,32430,4212.0,40800
2911.5,9511.0,2268.0,30910,4045.0,41300
2929.0,9474.0,2275.0,30385,3955.0,40700
2917.0,9541.0,2305.0,30200,3993.0,40775
2832.5,9428.0,2231.0,29930,3829.0,40585
2708.0,9160.0,2129.0,28400,3655.0,38000
2677.0,9350.0,2117.0,27760,3642.0,36700
2737.0,9367.0,2107.0,27800,3660.0,35700
2688.0,9018.5,2073.0,27600,3541.0,33875
2723.0,9064.0,2064.0,27425,3500.0,34375
2791.0,9270.0,2094.0,26105,3583.5,35000
2836.0,9396.0,2102.0,26300,3687.0,34325
2845.0,9264.5,2077.0,26180,3646.5,33925
2826.0,9287.0,2033.0,26125,3647.5,33900
2931.0,9477.0,2146.0,27950,3755.0,34705
2963.0,9500.5,2167.0,26800,3777.0,34800
2881.0,9460.5,2181.5,26280,3769.0,34200
2829.5,9287.0,2121.5,26725,3750.0,34300
2825.5,9359.0,2106.0,27550,3744.0,33725
2823.0,9383.0,2091.5,27850,3815.0,34050
2863.0,9520.5,2184.0,29975,3976.0,35000
2816.5,9500.5,2176.0,28700,3978.0,34900
2701.5,9455.0,2143.5,27710,3896.0,35250
2742.0,9712.0,2181.0,29400,3913.0,35900
2715.0,9612.0,2169.0,29050,3745.5,36200
2765.5,9692.0,2225.0,28860,3822.0,37000
2752.5,9630.0,2198.0,28055,3792.0,37200
2695.0,9537.0,2151.0,27570,3755.0,36550
2589.5,9290.0,2102.0,26390,3607.0,34500
2588.0,9263.0,2075.0,25500,3661.0,31000
2580.0,9257.0,2082.0,25650,3701.0,32850
2500.5,9105.0,2067.0,25425,3636.0,32450
2474.0,9101.0,2073.0,25435,3580.0,32600
2462.0,8875.0,2046.0,25230,3572.0,31025
2519.5,9000.0,2080.5,25540,3721.0,31560
2455.5,8729.0,2040.0,24975,3699.5,29525
2480.0,8578.0,1985.0,24110,3677.0,26850
2436.0,8280.5,1896.0,22900,3540.0,25050
2453.0,8353.0,1982.0,23200,3450.0,27500
2500.0,8502.0,1989.5,23900,3449.5,28150
2452.0,8446.0,1955.0,24750,3410.0,27325
2397.0,8245.0,1907.0,23100,3251.5,27050
2384.0,7975.5,1919.0,21650,3125.0,27000
2431.5,8036.0,1947.0,22685,3170.0,27195
2374.0,7807.0,1932.5,21925,3041.0,25700
2358.0,7525.5,1981.5,22225,3060.0,25300
2417.5,7835.0,2015.0,22025,3162.0,25625
2399.5,7790.0,1948.0,21255,3151.0,25800
2417.0,7623.0,1940.0,21500,3122.0,25800
2358.0,7370.5,1945.0,21450,3137.0,25700
2343.0,7267.0,1981.0,21700,3060.5,24900
2329.0,7216.0,1891.0,20335,2972.0,25600
2320.5,7000.0,1925.0,19100,2921.0,23600
2377.5,7320.0,1994.0,20200,3032.0,24010
2412.0,7281.5,1972.0,21350,3045.0,24900
2456.5,7371.0,2032.0,21300,3090.0,25000
2426.0,7231.5,1996.0,21200,3005.0,24475
2460.0,7372.0,2005.0,21530,3045.0,24700
2431.5,7448.0,2021.0,22550,3050.0,25200
2437.0,7591.5,2004.0,22320,3140.0,25300
2390.5,7552.0,2016.5,21300,3116.0,24150
2458.0,7712.0,2013.0,21500,3246.0,24275
2452.0,7800.5,2023.0,22050,3351.0,24405
2469.5,7930.5,2057.0,24025,3405.5,25795
2448.5,7819.0,2042.0,22825,3445.0,24700
2403.0,7774.0,2021.0,22000,3355.0,24350
2374.0,7642.0,2019.5,22035,3431.0,24600
2447.5,7830.5,2092.0,22170,3550.0,24755
2435.5,7835.0,2140.5,21725,3507.0,23100
2488.0,7971.5,2183.0,21355,3577.0,24495
2462.5,7976.0,2175.0,21330,3632.0,23850
2498.0,8140.0,2185.5,23110,3727.0,24875
2468.5,8065.0,2176.0,23225,3672.0,25010
2389.5,7865.5,2175.0,21850,3621.0,24300
2442.0,7992.0,2192.0,22500,3877.0,24995
2414.0,7955.0,2141.0,22035,3635.5,24950
2412.0,8020.0,2126.0,21850,3574.0,24550
2376.0,8051.0,2070.0,21575,3532.0,24950
2387.5,8041.0,2032.0,21810,3550.0,24500
2438.5,8100.5,2005.0,21780,3520.0,24545
2422.0,8031.5,1958.0,21350,3561.0,24455
2442.5,8155.0,1997.0,21250,3622.0,24650
2495.0,8315.0,1997.5,21510,3678.0,24450
2406.5,7910.5,1979.0,21385,3592.0,23775
2368.5,7721.0,1950.0,21255,3540.0,23600
2306.0,7702.0,1915.0,20525,3300.0,21625
2309.0,7587.0,1890.0,20200,3144.5,21700
2290.5,7652.5,1882.0,21000,3265.0,21650
2260.0,7707.0,1895.0,21355,3217.0,21750
2230.5,7730.0,1895.0,21450,3171.0,20525
2256.0,7906.0,1888.0,21400,3192.0,21700
2280.0,7985.0,1918.0,22200,3222.5,21305
2288.5,8026.0,1929.0,23325,3248.0,21550
2309.5,8230.0,1956.0,24655,3319.5,22245
2227.5,7865.0,1930.0,23755,3215.0,21350
2272.0,7806.0,1936.0,23310,3225.0,20900
2259.0,7792.0,1882.0,23500,3124.0,21185
2232.0,7772.0,1882.0,24610,3145.0,20450
2245.5,7796.0,1874.0,24750,3201.5,21200
2191.0,7761.5,1847.0,24860,3132.0,21635
2195.5,7815.0,1877.0,24525,3131.5,21745
2153.0,7446.0,1802.0,23135,3035.0,21410
2125.5,7449.0,1776.0,22150,2944.0,20595
2106.0,7475.0,1754.0,21890,2938.0,20900
2080.0,7353.0,1765.0,21225,2830.0,20900
2261.0,7660.5,1856.0,22900,3015.0,20605
2180.0,7647.0,1889.0,22290,2986.0,20750
2164.0,7524.0,1865.5,21575,2956.0,20345
2261.5,7596.0,1877.0,21300,2989.0,20255
2289.0,7661.0,1965.5,22275,3028.0,20305
2355.0,7744.0,2049.0,22350,3096.0,20250
2342.0,7575.5,2078.0,22360,3061.5,20000
2274.0,7655.0,2096.0,22100,3011.0,20155
2218.5,7587.0,2030.0,22400,2966.0,20300
2227.0,7625.5,2080.0,21750,2972.0,20005
2374.0,7663.0,2079.0,21920,2955.5,20125
2309.0,7688.0,2060.0,21910,2960.5,19975
2240.0,7715.0,2077.0,21460,2905.0,19700
2200.5,7536.0,2044.0,21500,2868.0,19425
2169.0,7420.0,2007.0,21620,2890.0,19400
2214.0,7585.5,1989.0,21825,2944.0,19025
2155.5,7545.0,1930.0,21550,2990.5,18435
2160.0,7661.0,1937.0,22170,3011.0,18350
2170.5,7536.0,1893.0,22075,2920.0,18055
2265.5,7762.5,1900.0,22255,2977.0,18650
2297.0,7777.0,1885.0,22250,2985.0,18775
2226.0,7663.5,1942.0,22255,2914.0,18300
2197.0,7525.0,1966.0,21750,2755.0,17700
2245.5,7745.0,2009.0,22705,2787.0,18125
2227.0,7705.0,1978.0,23360,2765.0,18050
2216.0,7510.0,1986.0,23060,2682.0,18100
2306.0,7905.0,2022.0,23735,2849.0,18375
2292.0,7954.5,2015.0,22950,2885.0,18825
2327.0,7974.0,2030.0,23410,2901.5,19575
2338.0,8035.0,2060.0,24095,2890.0,19875
2272.0,8065.0,2065.0,24420,2832.0,19675
2410.0,8441.0,2156.5,26025,3006.5,21150
2392.0,8346.0,2175.0,27005,3076.0,21900
2410.0,8343.0,2212.5,29600,3145.0,23795
2393.0,8315.0,2209.0,28555,3087.0,24525
2342.5,8155.0,2147.0,26070,3000.0,23400
2369.0,8047.0,2175.0,24850,3007.5,21750
2344.0,7900.5,2113.0,24450,2932.0,21650
2394.0,7996.0,2095.5,25700,2904.5,21310
2364.0,7962.0,2082.0,25900,2892.0,21995
2344.0,7990.5,2128.0,26160,2912.0,22450
2346.0,8070.0,2135.0,25600,2925.0,22450
2315.5,7966.0,2107.0,25250,2912.0,22450
2341.5,8035.5,2122.0,26255,2956.0,22600
2387.0,8198.0,2164.0,26500,2974.0,22975
2430.5,8216.5,2155.0,26950,3056.5,23105
2448.5,8342.0,2171.0,27145,3066.5,23500
2485.0,8440.0,2194.5,28365,3120.5,24475
2461.0,8355.5,2210.0,28250,3187.0,24600
2450.5,8334.0,2206.0,28725,3140.0,24475
2468.5,8537.0,2199.0,31075,3242.0,24400
2453.5,8490.5,2207.0,29850,3247.0,24700
2390.0,8371.5,2190.0,29310,3284.0,23900
2388.0,8381.0,2201.0,28800,3289.0,24300
2379.5,8415.0,2147.0,27850,3277.0,24275
2396.0,8383.0,2133.0,28625,3235.0,23650
2354.0,8231.5,2156.0,28850,3127.0,23750
2327.0,8331.0,2179.0,27525,3060.0,23300
2329.5,8302.0,2175.0,28400,3075.0,23375
2357.0,8327.0,2217.0,28175,3065.5,23875
2362.0,8345.5,2277.0,28650,3008.0,23925
2342.0,8308.5,2280.0,29600,2985.0,23950
2343.0,8451.0,2303.0,30505,3056.0,24900
2371.5,8395.0,2314.0,30000,3019.0,24725
2360.5,8387.0,2335.0,30425,3025.0,24800
2337.5,8390.0,2322.0,31200,3004.0,25050
2250.0,8209.0,2331.0,29750,2977.0,25250
2270.0,8420.0,2298.5,28775,3040.0,25100
2242.5,8362.5,2235.0,27465,2994.0,25250
2336.5,8722.0,2318.0,27485,3154.0,25600
2397.0,8766.5,2208.0,27700,3193.0,25600
2451.0,8987.0,2202.0,27575,3175.5,26600
2447.0,9071.5,2155.0,26475,3215.0,27475
2511.0,9107.0,2215.0,27175,3301.5,28530
2603.0,9145.5,2288.0,27100,3352.0,28125
2562.5,9114.0,2241.0,26750,3286.0,28100
2636.0,9436.0,2218.0,27510,3415.0,28650
2541.0,9190.0,2163.0,28175,3372.0,28650
2585.5,9232.0,2142.0,28650,3445.0,29275
2593.0,9340.5,2105.0,27650,3436.5,29900
2594.5,9308.0,2063.0,28110,3420.5,29950
2606.0,9258.0,2148.0,28755,3440.0,30325
2598.0,9288.5,2199.0,28750,3488.0,31450
2597.0,9345.5,2207.0,29065,3509.0,32050
2577.0,9227.0,2171.0,29535,3450.0,29515
2533.5,9075.0,2142.0,29400,3409.0,29250
2611.0,9175.0,2145.0,30060,3439.5,29550
2572.5,9114.0,2131.0,28735,3350.0,29250
2560.0,9060.0,2113.5,29110,3361.0,28650
2486.5,8891.5,2102.0,27450,3200.0,26805
2472.5,8865.0,2069.0,26810,3137.0,27050
2469.0,9006.0,2130.0,27300,3202.0,28050
2424.5,8953.5,2130.0,27050,3180.0,27675
2435.0,8905.0,2096.0,27710,3119.0,27550
2382.5,8912.0,2089.0,26755,3042.0,27550
2391.0,8931.5,2096.5,26900,3134.0,27125
2367.0,8826.0,2062.5,25805,3067.0,26325
2341.5,8892.0,2034.0,25860,3035.0,26700
2335.0,8871.0,2048.0,25600,3037.0,26525
2392.0,9015.0,2087.0,25955,3110.0,26100
2430.5,9103.5,2156.0,26600,3170.0,26850
2385.5,9121.0,2143.0,26225,3106.5,26850
2368.5,9060.0,2089.5,25600,3087.0,26500
2307.0,8807.0,2066.0,24850,3021.0,25925
2314.0,8751.0,2107.0,24600,3034.5,25250
2300.0,8844.0,2083.0,24820,3042.5,25110
2364.0,9066.5,2138.0,25025,3091.5,25650
2366.5,8896.0,2108.0,24160,3075.0,24850
2361.5,8945.0,2138.0,24405,3090.0,24125
2321.5,8819.0,2117.0,24450,3030.0,24350
2312.5,8824.0,2088.0,23960,3012.0,24350
2288.5,8810.0,2087.0,23500,2990.0,23495
2291.0,8808.0,2076.0,23225,2967.5,23005
2249.0,8755.0,2077.0,22675,2941.0,22500
2236.5,8651.0,2063.0,22625,2905.0,22900
2272.0,8905.0,2099.0,23255,2954.0,22550
2246.0,8525.0,2079.0,22750,2864.5,22675
2237.5,8535.0,2055.0,22650,2864.0,22225
2232.0,8621.0,2067.5,23210,2933.0,22435
2237.5,8677.0,2104.0,22675,2925.0,22800
2235.0,8824.0,2130.0,22550,2897.0,23145
2232.0,8880.5,2150.0,22300,2888.0,23300
2265.0,8917.0,2146.5,21895,2894.0,23850
2265.0,8927.0,2135.0,22795,2900.0,24375
2298.0,8876.0,2125.0,23875,2914.0,25625
2315.0,8934.0,2156.0,23600,2937.0,26050
2366.0,9052.0,2182.0,24200,3035.0,26100
2344.0,9038.5,2174.0,23185,2980.0,25900
2336.5,8935.0,2145.0,23100,2906.5,26075
2380.5,8966.0,2137.0,23560,2937.0,25900
2341.5,8930.0,2122.0,22910,2893.0,25825
2306.0,8780.0,2119.5,22710,2848.0,24675
2300.5,8836.0,2128.0,22500,2810.5,24950
2268.0,8837.5,2121.0,22850,2784.0,24050
2258.5,8803.0,2142.0,22890,2751.0,23940
2330.0,9001.5,2162.0,23210,2830.0,24795
2356.0,9082.0,2185.0,24165,2902.0,24800
2364.5,8985.0,2132.0,24455,2846.0,27225
2401.0,8966.0,2159.0,24960,2855.0,27660
2382.0,8875.0,2156.0,24465,2767.0,26750
2410.0,8875.0,2184.0,25540,2755.5,27250
2388.5,8816.0,2204.0,24335,2739.0,27000
2354.5,8762.5,2164.0,24130,2670.0,26950
2313.0,8521.0,2162.0,23865,2618.0,26270
2339.5,8579.0,2123.0,23650,2614.5,25610
2302.0,8465.5,2122.0,23655,2610.0,25950
2342.0,8571.0,2162.0,23770,2680.0,26350
2353.0,8573.0,2171.0,24235,2620.0,26800
2330.0,8486.0,2145.0,25100,2609.0,27125
2297.0,8539.0,2126.0,25100,2611.0,27000
2277.5,8488.0,2104.0,23800,2630.0,26300
2321.0,8583.0,2118.0,23930,2658.0,26325
2276.0,8469.0,2122.5,23035,2612.0,26010
2229.0,8267.0,2120.0,22250,2575.0,26075
2230.5,8240.0,2094.0,22285,2516.0,25025
2260.5,8287.0,2065.0,22200,2558.0,25700
2235.5,8076.0,2060.0,21400,2473.5,24925
2269.0,8176.0,2050.0,21320,2521.5,25150
2312.0,8171.5,2049.5,21275,2482.0,25405
2300.0,8222.0,2096.0,21465,2491.0,25550
2262.0,8094.0,2095.0,21275,2433.0,25150
2202.0,7961.0,2072.0,20760,2362.5,24300
2234.0,7910.0,2057.0,20900,2306.0,24550
2236.0,7922.0,2032.5,21125,2224.0,24725
2242.0,8082.0,2059.0,21450,2320.0,25000
2230.0,8122.0,2078.0,21235,2323.5,25705
2255.0,8017.0,2035.5,20450,2228.0,25375
2281.0,8210.5,1989.0,20850,2271.0,25575
2263.5,8337.0,2010.0,21490,2302.0,26295
2216.0,8265.0,2040.0,20610,2271.0,26000
2172.0,8311.0,2035.0,21050,2290.0,26250
2169.0,8352.0,2057.0,21005,2382.0,26050
2187.5,8243.0,2029.5,21110,2371.0,25950
2221.0,8368.0,2060.0,21390,2397.0,27075
2188.0,8287.0,2090.0,21100,2356.5,26350
2193.5,8421.5,2106.0,21250,2382.0,26625
2200.0,8457.0,2147.0,22155,2450.0,27100
2197.0,8479.0,2165.0,22725,2461.0,28900
2224.5,8561.0,2174.0,23140,2485.0,28325
2195.0,8542.0,2197.0,22465,2431.5,28600
2184.5,8565.0,2185.0,21830,2375.0,28795
2157.0,8490.0,2242.0,21350,2338.0,28595
2190.5,8670.5,2222.0,21210,2442.5,28650
2132.5,8490.0,2190.0,20895,2362.5,28195
2116.0,8437.0,2159.0,20560,2331.5,26700
2151.5,8367.0,2169.0,20335,2362.0,27650
2141.5,8268.0,2130.5,19855,2348.0,27500
2105.5,8165.5,2102.0,19745,2326.0,26900
2096.5,8210.0,2105.0,20125,2363.0,27700
2107.0,8355.0,2117.5,20160,2361.5,27700
2102.5,8349.0,2115.0,20300,2370.0,28150
2093.0,8251.0,2092.0,20175,2357.0,28050
2103.5,8280.0,2059.0,21135,2365.0,29050
2086.0,8299.0,2038.0,20370,2337.5,29050
2096.0,8286.0,2066.0,20685,2341.5,28800
2129.0,8371.0,2072.0,20460,2361.0,28750
